scl_valor,pixeles,pct
0,21711,0.001060107421875
2,60655,0.002961669921875
3,647465,0.031614501953125
4,11061382,0.54010654296875
5,7399661,0.361311572265625
6,11349,0.000554150390625
7,254890,0.01244580078125
8,501653,0.024494775390625
9,435365,0.021258056640625
10,85869,0.004192822265625
