clase,variable_meta,n,n_finite,n_nan,n_inf,pct_finite,mean,std,min,p01,p05,p25,median,p75,p95,p99,max,n_zero,n_negative,n_outlier_iqr
contaminacion_alta_NO2,lat,1000,1000,0,0,1.0,3.470440775887497,0.06494694491161704,3.305261256389529,3.3331970650950646,3.372904397283697,3.423030390137543,3.4643528932070216,3.523147628552617,3.583384159929223,3.604852098589101,3.61571901858109,0.0,0.0,0.0
contaminacion_alta_NO2,lon,1000,1000,0,0,1.0,-76.4995716321973,0.04314398128193606,-76.6131783322465,-76.58138695434106,-76.56233817874103,-76.5303536630495,-76.50169740548567,-76.48011538078438,-76.43294035363817,-76.33164542388413,-76.31035624996547,0.0,1000.0,25.0
contaminacion_alta_NO2,ndvi,1000,1000,0,0,1.0,0.3835334604925109,0.1896387185842777,0.033108259076067695,0.08520206103262289,0.11381034862229354,0.2233899865184319,0.3660225521516126,0.5403962071430082,0.6981767886756922,0.7737913536432132,0.8427090752989789,0.0,0.0,0.0
contaminacion_alta_NO2,ndbi,1000,1000,0,0,1.0,-0.03145455679013315,0.1346787610553075,-0.45096695582304813,-0.3515882861628634,-0.2830440495829491,-0.12730811099797176,-0.00880661473257436,0.07598678731049442,0.15079109726322937,0.17624684334255955,0.19862793066771986,0.0,521.0,1.0
contaminacion_alta_NO2,scl_pct,1000,1000,0,0,1.0,0.929677490234375,0.15523372181935918,0.30224609375,0.3339794921875,0.52120361328125,0.9661865234375,1.0,1.0,1.0,1.0,1.0,0.0,0.0,192.0
contaminacion_alta_NO2,no2,1000,1000,0,0,1.0,7.353559537659749e-05,2.1020285586140638e-05,5.2797178796026856e-05,5.297587889799616e-05,5.3794092309544794e-05,5.853683251189068e-05,6.798705726396292e-05,8.032423647819087e-05,0.00011094272012996947,0.00015422507291077632,0.00019098490884061903,0.0,0.0,45.0
contaminacion_alta_NO2,so2,1000,0,1000,0,0.0,,,,,,,,,,,,,,
contaminacion_alta_NO2,o3,1000,0,1000,0,0.0,,,,,,,,,,,,,,
contaminacion_alta_NO2,era5_T2m,1000,1000,0,0,1.0,297.5125356140137,1.9440832096924143,291.964599609375,292.4900817871094,294.8803405761719,296.1243667602539,297.6007080078125,298.7889709472656,301.193603515625,301.91011138916014,303.1817321777344,0.0,0.0,11.0
contaminacion_alta_NO2,era5_Td2m,1000,1000,0,0,1.0,292.48179412841796,1.5573654651218392,288.56011962890625,289.64906127929686,290.26666259765625,291.3522033691406,292.36907958984375,293.4691848754883,295.2743835449219,297.0343969726562,298.4338073730469,0.0,0.0,11.0
contaminacion_alta_NO2,era5_u10,1000,1000,0,0,1.0,0.48723437240719797,0.7266094888356642,-1.2956390380859375,-1.2956390380859375,-0.8620483875274658,-0.10149633884429932,0.5180983543395996,1.0201387405395508,1.5960693359375,1.8724212646484375,1.9433778524398804,0.0,278.0,0.0
contaminacion_alta_NO2,era5_v10,1000,1000,0,0,1.0,-0.9070808064639568,0.4209415212140686,-1.7344653606414795,-1.7010366916656494,-1.5686500549316404,-1.176816999912262,-0.9925599098205566,-0.6417388916015625,-0.1021728515625,-0.0027699875831624157,0.8598976135253906,0.0,990.0,10.0
