clase,banda,n,n_finite,n_nan,n_inf,pct_finite,mean,std,min,p01,p05,p25,median,p75,p95,p99,max,n_zero,n_negative,n_outlier_iqr
ozono_anomalo,B3,4096000,4096000,0,0,1.0,988.2417602539062,739.8241577148438,0.0,308.0,446.0,642.0,796.0,1064.0,2108.0,4448.0,19272.0,4138,0,334248
ozono_anomalo,B4,4096000,4096000,0,0,1.0,905.4761962890625,789.17822265625,0.0,178.0,259.0,449.0,677.0,1104.0,2152.0,4352.0,18392.0,4558,0,221746
ozono_anomalo,B5,4096000,4096000,0,0,1.0,1327.500244140625,738.8523559570312,0.0,401.0,703.0,936.0,1157.0,1486.0,2427.0,4598.0,16575.0,4102,0,243395
ozono_anomalo,B6,4096000,4096000,0,0,1.0,2426.37060546875,727.9169921875,0.0,731.0,1405.0,2052.0,2398.0,2745.0,3408.0,5024.0,16229.0,4101,0,203011
ozono_anomalo,B7,4096000,4096000,0,0,1.0,2884.576904296875,863.2994995117188,0.0,855.0,1579.0,2356.0,2861.0,3370.0,4228.0,5294.0,16051.0,4089,0,101722
ozono_anomalo,B8,4096000,4096000,0,0,1.0,2866.950927734375,885.6104736328125,0.0,762.0,1502.0,2320.0,2856.0,3384.0,4232.0,5244.0,17288.0,4089,0,91490
ozono_anomalo,B8A,4096000,4096000,0,0,1.0,3128.7158203125,911.7615356445312,0.0,866.0,1705.0,2569.0,3129.0,3666.0,4543.0,5494.0,16785.0,4105,0,98311
ozono_anomalo,B9,4096000,4096000,0,0,1.0,3137.329833984375,1057.031005859375,0.0,852.0,1761.0,2564.0,3086.0,3572.0,4544.0,7110.0,16970.0,4109,0,182121
ozono_anomalo,B11,4096000,4096000,0,0,1.0,2195.37744140625,802.195556640625,0.0,480.0,1268.0,1678.0,2060.0,2584.0,3571.0,4855.0,15457.0,4089,0,135116
ozono_anomalo,B12,4096000,4096000,0,0,1.0,1458.983154296875,853.3681030273438,0.0,277.0,583.0,846.0,1228.0,1859.0,3048.0,4255.0,15371.0,4089,0,118067
ozono_anomalo,SCL,4096000,4096000,0,0,1.0,4.541090965270996,1.2599472999572754,0.0,3.0,4.0,4.0,4.0,5.0,8.0,9.0,10.0,4089,0,352741
vegetacion_densa,B1,4096000,4096000,0,0,1.0,460.8804931640625,361.8702697753906,0.0,131.0,204.0,318.0,400.0,509.0,815.0,1886.0,9676.0,13703,0,234222
vegetacion_densa,B2,4096000,4096000,0,0,1.0,505.11151123046875,398.7071838378906,0.0,132.98999999999796,223.0,349.0,437.0,552.0,902.0,2144.0,20520.0,14243,0,252663
vegetacion_densa,B3,4096000,4096000,0,0,1.0,724.0850219726562,381.07958984375,0.0,207.0,397.0,571.0,669.0,792.0,1130.0,2232.0,20072.0,13605,0,262629
vegetacion_densa,B4,4096000,4096000,0,0,1.0,554.4134521484375,415.13360595703125,0.0,111.0,218.0,347.0,458.0,634.0,1160.0,2142.0,18792.0,13791,0,258912
vegetacion_densa,B5,4096000,4096000,0,0,1.0,1028.41845703125,417.1017150878906,0.0,241.0,601.0,827.0,969.0,1157.0,1584.0,2496.0,15336.0,12651,0,240974
vegetacion_densa,B6,4096000,4096000,0,0,1.0,2488.120849609375,603.6026611328125,0.0,617.0,1423.0,2216.0,2516.0,2816.0,3314.0,3960.0,12206.0,12818,0,245946
vegetacion_densa,B7,4096000,4096000,0,0,1.0,3084.10107421875,791.1884765625,0.0,769.0,1674.0,2664.0,3115.0,3570.0,4288.0,4814.0,10672.0,12690,0,157829
vegetacion_densa,B8,4096000,4096000,0,0,1.0,3051.494384765625,811.3324584960938,0.0,694.0,1580.0,2618.0,3094.0,3560.0,4272.0,4788.0,16840.0,12581,0,152523
vegetacion_densa,B8A,4096000,4096000,0,0,1.0,3348.616943359375,846.6383056640625,0.0,787.0,1808.0,2913.0,3397.0,3875.0,4612.0,5140.0,11081.0,12510,0,168084
vegetacion_densa,B9,4096000,4096000,0,0,1.0,3276.13818359375,792.9463500976562,0.0,720.0,1875.0,2908.0,3323.0,3733.0,4393.0,4928.0,15637.0,12590,0,201186
vegetacion_densa,B11,4096000,4096000,0,0,1.0,1823.9808349609375,583.7404174804688,0.0,322.0,1001.0,1503.0,1747.0,2104.0,2799.0,3596.0,11221.0,12374,0,246881
vegetacion_densa,B12,4096000,4096000,0,0,1.0,997.6743774414062,505.1784973144531,0.0,163.0,466.0,681.0,875.0,1194.0,1925.0,2802.0,15253.0,12374,0,188886
vegetacion_densa,SCL,4096000,4096000,0,0,1.0,4.104621410369873,0.761170506477356,0.0,3.0,4.0,4.0,4.0,4.0,5.0,8.0,10.0,12374,0,493052
suelo_urbano,B1,4096000,4096000,0,0,1.0,1363.7646484375,886.6856689453125,15.0,455.0,660.0,984.0,1204.0,1440.0,2515.0,5834.0,13070.0,0,0,289134
