variable,v2_mean,v3_mean,delta_mean,v2_median,v3_median,delta_median,v2_min,v3_min,v2_max,v3_max,ks_stat,p_value
no2,1.524569118070455e-05,3.0193495250599408e-05,1.4947804069894859e-05,1.698712912912015e-05,2.7389840397518128e-05,1.040271126839798e-05,-7.18900810170453e-06,-4.27642953582108e-06,2.3930271709105e-05,9.36643555178307e-05,0.6255506607929515,3.956767927055934e-42
ndvi,0.6123564367708952,0.5454506706608379,-0.06690576611005739,0.6562642753124237,0.5800429284572601,-0.07622134685516357,0.1341320127248764,0.0734938532114029,0.8633933067321777,0.8470450639724731,0.19130434782608696,0.00042742198219787575
ndbi,-0.20097382464243665,-0.1566855749135594,0.044288249728877266,-0.2177722454071045,-0.17502523213624954,0.04274701327085495,-0.4521291255950928,-0.446711003780365,0.18759673833847046,0.1983400583267212,0.18695652173913044,0.0006262760594697106
so2,0.00039030523039400576,0.0004310686762556029,4.076344586159713e-05,0.0003403244190849364,0.0003602101933211088,1.9885774236172438e-05,0.00016391059034503996,0.00019381182210054249,0.0010578985093161464,0.001800082391127944,0.1782608695652174,0.0013088133250254755
era5_u10,0.22639698736045671,0.23382436011148536,0.007427372751028644,0.006106674671173096,0.19442260265350342,0.18831592798233032,-1.2521114349365234,-1.2521114349365234,1.9400877952575684,1.9400877952575684,0.09565217391304348,0.2437568141603017
era5_v10,-0.8141554123681525,-0.9070846652207167,-0.09292925285256426,-0.9663064479827881,-0.9829144477844238,-0.016607999801635742,-2.0228967666625977,-2.0228967666625977,0.9910156726837158,0.47677159309387207,0.09565217391304348,0.2437568141603017
modis_AOD_047,0.2692374843090311,0.29245424209392235,0.02321675778489124,0.2782592475414276,0.30307692289352417,0.024817675352096558,0.012086956761777401,0.0,0.5860000252723694,0.5839999914169312,0.09239503778235746,0.2743722665398191
modis_AOD_055,0.19479131885697093,0.2117255371038432,0.016934218246872274,0.20057693123817444,0.21915385127067566,0.01857692003250122,0.008521739393472672,0.0,0.42800000309944153,0.4269999861717224,0.09239503778235746,0.2743722665398191
o3,0.11829372615269992,0.11897572946289312,0.000682003310193191,0.11747323349118233,0.11779753863811493,0.00032430514693260193,0.1064193844795227,0.10622061043977737,0.12846951186656952,0.12991070747375488,0.08260869565217391,0.4132539572991459
scl_pct,0.899393894361413,0.8935631793478261,-0.005830715013586896,1.0,0.9990234375,-0.0009765625,0.3056640625,0.3212890625,1.0,1.0,0.07391304347826087,0.5571810050142149
modis_WV,2.9394113801095796,2.8872913097557813,-0.05212007035379829,2.982979893684387,2.8832199573516846,-0.09975993633270264,0.14086666703224182,0.48447999358177185,4.355840682983398,4.547079563140869,0.06956521739130435,0.6350041668417592
era5_RH850,85.89031060260275,85.58876160331394,-0.30154899928881207,87.55961608886719,87.55961608886719,0.0,51.908485412597656,51.908485412597656,96.22848510742188,96.82610321044922,0.05652173913043478,0.8571640763264791
era5_BLH,679.0353250254756,668.5873800526495,-10.447944972826122,683.5009765625,693.420166015625,9.919189453125,218.540771484375,248.3212890625,1116.6490478515625,1087.359619140625,0.05652173913043478,0.8571640763264791
