clase,ndvi,ndbi,scl_pct,lat,lon,PC1,PC2
contaminacion_alta_NO2,0.6391866207122803,-0.21137773990631104,0.9970703125,3.586883097960867,-76.44483404800009,-0.8612477832129024,-1.4787914169666208
contaminacion_alta_NO2,0.5353635549545288,-0.20923039317131042,0.48583984375,3.5950577670463506,-76.31709361459646,-0.7463428405927098,-1.4100239609918939
contaminacion_alta_NO2,0.12360535562038422,0.16643568873405457,1.0,3.416113362449826,-76.47825137656982,0.06538471235192332,2.724082622751206
contaminacion_alta_NO2,0.6504279375076294,-0.199527308344841,0.96142578125,3.4953447705091305,-76.32428013686952,2.9307279176953576,-0.11362287240497702
contaminacion_alta_NO2,0.5007303953170776,-0.2786976099014282,0.7529296875,3.59173400049511,-76.4503137712333,-1.3142307534840885,-1.3651555717100972
contaminacion_alta_NO2,0.6855624318122864,-0.15610027313232422,1.0,3.3188258171797274,-76.5330486089019,-0.5965992344188976,-1.3499527014613972
contaminacion_alta_NO2,0.21753567457199097,0.10982741415500641,0.892578125,3.4595019906727784,-76.46792075080229,0.7141065454710256,3.1093206191656098
contaminacion_alta_NO2,0.6149910688400269,-0.109434574842453,1.0,3.3545787654876675,-76.49603801919564,1.5569702740115436,0.7650136373796518
vegetacion_densa,0.6140055656433105,-0.21781203150749207,0.958984375,3.4603104744284856,-76.5988951192288,-1.7014419008139594,-1.220932500617261
ozono_anomalo,0.3359439969062805,-0.18823972344398499,0.302490234375,3.5632574059885345,-76.42013037768645,-1.890076422662534,-2.884248919228442
contaminacion_alta_NO2,0.5589864253997803,-0.08371827006340027,1.0,3.4356068041152104,-76.33173615372782,0.20208480446798538,1.0098381695629495
contaminacion_alta_NO2,0.26423656940460205,-0.036613501608371735,0.67626953125,3.4285999448990814,-76.54697249580595,-2.9274854336871297,-0.2459051778494942
contaminacion_alta_NO2,0.07347488403320312,-0.044491417706012726,0.35302734375,3.433091521319677,-76.46980721289897,-0.6222375033152934,0.8306057075837839
vegetacion_densa,0.8022105693817139,-0.2977258563041687,1.0,3.3354446499359307,-76.55900992061332,-0.6319947552991003,-1.5294832686597175
contaminacion_alta_NO2,0.7162836790084839,-0.2570926547050476,1.0,3.3058900770884123,-76.32490895756841,1.9908293236322834,-0.0834755374695354
ozono_anomalo,0.25667962431907654,0.009330605156719685,1.0,3.5443029534936215,-76.49738549212184,-1.4233583892035935,2.498193084026459
contaminacion_alta_NO2,0.5048578977584839,-0.028880171477794647,1.0,3.3134359254750128,-76.30550534743115,2.2616491907887917,1.5072451477964928
