version,variable,ks_stat,p_value,so2_mean,veg_mean,delta_mean_so2_minus_veg
v2,so2,1.0,1.8067866542839666e-137,0.00039030523039400576,-2.8353909012524958e-06,0.00039314062129525824
v2,ndvi,0.3826086956521739,2.154674341949177e-15,0.6123564367708952,0.6942946967871293,-0.08193826001623405
v2,ndbi,0.26956521739130435,9.299074352644805e-08,-0.20097382464243665,-0.2674486260375251,0.06647480139508846
v2,scl_pct,0.15217391304347827,0.009638486651414018,0.899393894361413,0.884639308763587,0.014754585597826053
v2,no2,0.21454545454545454,0.000512717826553265,1.524569118070455e-05,1.1824397628518906e-05,3.4212935521856434e-06
v2,o3,0.4260869565217391,3.7051981969633276e-17,0.11829372615269992,0.11368650372099617,0.00460722243170375
v2,modis_AOD_047,0.18374476013041452,0.0010800711517522322,0.2692374843090311,0.32386657694114024,-0.05462909263210913
v2,modis_AOD_055,0.18672989795486303,0.0008454394983228811,0.19479131885697093,0.23465195988443052,-0.03986064102745959
v2,modis_WV,0.08260869565217391,0.4132539572991459,2.9394113801095796,2.8401809871196746,0.09923039298990499
v2,era5_BLH,0.13043478260869565,0.03985498765810864,679.0353250254756,655.9823072350543,23.053017790421222
v2,era5_RH850,0.10434782608695652,0.1635204486578329,85.89031060260275,86.92538355951724,-1.0350729569144903
v2,era5_u10,0.19130434782608696,0.00042742198219787575,0.22639698736045671,0.374082926498807,-0.14768593913835026
v2,era5_v10,0.13043478260869565,0.03985498765810864,-0.8141554123681525,-0.8194519864476245,0.005296574079472038
v3,so2,1.0,1.8067866542839666e-137,0.0004310686762556029,-2.8353909012524958e-06,0.00043390406715685537
v3,ndvi,0.5652173913043478,3.238643442729269e-34,0.5454506706608379,0.6942946967871293,-0.14884402612629144
v3,ndbi,0.43478260869565216,6.592109859509493e-20,-0.1566855749135594,-0.2674486260375251,0.11076305112396573
v3,scl_pct,0.09130434782608696,0.2935137071996672,0.8935631793478261,0.884639308763587,0.008923870584239157
v3,no2,0.6291857921813869,3.492973964405697e-33,3.0193495250599408e-05,1.1824397628518906e-05,1.8369097622080504e-05
v3,o3,0.4608695652173913,4.175733229939045e-20,0.11897572946289312,0.11368650372099617,0.005289225741896941
v3,modis_AOD_047,0.15173363046470473,0.012498061073146365,0.29245424209392235,0.32386657694114024,-0.03141233484721789
v3,modis_AOD_055,0.15173363046470473,0.012498061073146365,0.2117255371038432,0.23465195988443052,-0.02292642278058732
v3,modis_WV,0.08695652173913043,0.3500391832223915,2.8872913097557813,2.8401809871196746,0.047110322636106705
v3,era5_BLH,0.16521739130434782,0.0036972161735005235,668.5873800526495,655.9823072350543,12.6050728175951
v3,era5_RH850,0.12608695652173912,0.051553287436266866,85.58876160331394,86.92538355951724,-1.3366219562033024
v3,era5_u10,0.19130434782608696,0.00042742198219787575,0.23382436011148536,0.374082926498807,-0.14025856638732162
v3,era5_v10,0.14347826086956522,0.01746369568227475,-0.9070846652207167,-0.8194519864476245,-0.08763267877309222
