gas,horizonte,rmse,mae,r2,r2_within,r2_anom,skill_persist,rmse_baseline,r2_baseline,baseline_elegido,alpha,n_est,n_obs
NO2,1,4.404408791707345,3.2559960365160827,0.09669012742029537,0.24364562253981015,0.08340872359146356,0.2461597808021,4.404380018865577,0.2436573123977498,blend,0.3,2,1215
NO2,3,4.8706747564425275,3.7055230159041668,-0.10245084523438996,-0.08674744454190808,-0.11809450924321263,0.20491634164174266,4.870151656453065,-0.08618860685399854,median_st,0.3,2,1211
NO2,7,4.952559440849984,3.853629625946374,-0.13908607683594054,-0.11840225703977292,-0.15389202120076262,0.3126660378734939,4.951469245104288,-0.11719408502283946,median_st,0.15,2,1203
SO2,1,1.8839357531078762,1.168169840313166,0.6358484818891802,0.41300090476319423,0.44889871778709944,0.1859396895683868,1.8839356008232364,0.41300112347647977,ewma,0.12,5,5127
SO2,3,2.2219581544970888,1.4714868181587977,0.4937889908749258,0.18290195634444467,0.23290798398948942,0.16671852596157866,2.2219862287553704,0.18322642947898507,blend,0.3,5,5117
SO2,7,2.3227308511967,1.571794692400154,0.44761754919959706,0.1278443320454433,0.16071251245116103,0.25495977230535416,2.322780132256038,0.12826973396014313,blend,0.3,5,5097
O3,1,6.033700074206601,4.218492929197177,0.2716957775547648,0.14252886319618457,0.12615194235163796,0.2910684295638144,6.033700074206601,0.14252886319618457,blend,0.0,7,7895
O3,3,6.40321738813134,4.670722141246356,0.17866205963056314,0.03210760602466451,0.01429554435073943,0.3737455974181856,6.403217172058776,0.032107665658981155,mean_win,0.04285714285714286,7,7881
O3,7,6.760444885493718,4.944249322543383,0.0863728467384337,-0.09755779317760276,-0.09720912712127094,0.33743872222885263,6.760720760041659,-0.09767412018517325,mean_win,0.08571428571428572,7,7853
