time_idx,time_s2,scl_pct
0,20210103T152641_20210103T153117_T18NUJ,0.0
1,20210103T152641_20210103T153117_T18NUK,0.0
2,20210106T153621_20210106T154053_T18NUJ,0.102335356
3,20210106T153621_20210106T154053_T18NUK,0.06578262
4,20210108T152639_20210108T153127_T18NUJ,0.007975579
5,20210108T152639_20210108T153127_T18NUK,9.310834e-05
6,20210111T153619_20210111T153730_T18NUJ,0.3438813
7,20210111T153619_20210111T153730_T18NUK,0.13450456
8,20210113T152641_20210113T153118_T18NUJ,0.11660391
9,20210113T152641_20210113T153118_T18NUK,0.015857391
10,20210116T153621_20210116T154054_T18NUJ,0.62677
11,20210116T153621_20210116T154054_T18NUK,0.2181252
12,20210118T152639_20210118T153102_T18NUJ,1.1852547e-06
13,20210118T152639_20210118T153102_T18NUK,0.0
14,20210121T153619_20210121T153712_T18NUJ,0.04301263
15,20210121T153619_20210121T153712_T18NUK,0.024339601
16,20210123T152641_20210123T153118_T18NUJ,0.08605535
17,20210123T152641_20210123T153118_T18NUK,0.0026849313
18,20210126T153621_20210126T154057_T18NUJ,0.08554438
19,20210126T153621_20210126T154057_T18NUK,0.0006724345
20,20210128T152639_20210128T153015_T18NUJ,0.0
21,20210128T152639_20210128T153015_T18NUK,0.0
22,20210131T153619_20210131T153618_T18NUJ,0.63673955
23,20210131T153619_20210131T153618_T18NUK,0.22036736
24,20210202T152641_20210202T153037_T18NUJ,0.14453049
25,20210202T152641_20210202T153037_T18NUK,0.023676846
26,20210205T153621_20210205T154023_T18NUJ,0.51930255
27,20210205T153621_20210205T154023_T18NUK,0.17656943
28,20210207T152639_20210207T152638_T18NUJ,0.0
29,20210207T152639_20210207T152638_T18NUK,0.0
30,20210210T153619_20210210T153617_T18NUJ,0.47464007
31,20210210T153619_20210210T153617_T18NUK,0.10406991
32,20210212T152641_20210212T153145_T18NUJ,0.00086912094
33,20210212T152641_20210212T153145_T18NUK,1.5803396e-06
34,20210215T153621_20210215T153918_T18NUJ,0.0017355422
35,20210215T153621_20210215T153918_T18NUK,0.0003898171
36,20210217T152639_20210217T153027_T18NUJ,0.003264323
37,20210217T152639_20210217T153027_T18NUK,1.0008817e-05
38,20210220T153619_20210220T153616_T18NUJ,0.45925033
39,20210220T153619_20210220T153616_T18NUK,0.19391656
40,20210222T152641_20210222T153041_T18NUJ,0.030750314
41,20210222T152641_20210222T153041_T18NUK,1.1062378e-05
42,20210225T153621_20210225T153811_T18NUJ,0.111217126
43,20210225T153621_20210225T153811_T18NUK,0.04360644
44,20210227T152639_20210227T152637_T18NUJ,0.0010722604
45,20210227T152639_20210227T152637_T18NUK,0.0
46,20210302T153619_20210302T153618_T18NUJ,1.777882e-05
47,20210302T153619_20210302T153618_T18NUK,1.4618142e-05
48,20210304T152641_20210304T152929_T18NUJ,0.13936614
49,20210304T152641_20210304T152929_T18NUK,0.028058074
50,20210307T153621_20210307T153619_T18NUJ,0.0018295724
51,20210307T153621_20210307T153619_T18NUK,0.0
52,20210309T152639_20210309T152638_T18NUJ,0.06665688
53,20210309T152639_20210309T152638_T18NUK,0.016819883
54,20210312T153619_20210312T153640_T18NUJ,0.001737781
55,20210312T153619_20210312T153640_T18NUK,0.00092476205
56,20210314T152641_20210314T152815_T18NUJ,0.09188009
57,20210314T152641_20210314T152815_T18NUK,0.025796607
58,20210317T153621_20210317T153618_T18NUJ,0.128011
59,20210317T153621_20210317T153618_T18NUK,0.10153393
60,20210319T152639_20210319T152638_T18NUJ,0.13639253
61,20210319T152639_20210319T152638_T18NUK,0.02460332
62,20210322T153619_20210322T153839_T18NUJ,1.2642717e-05
63,20210322T153619_20210322T153839_T18NUK,5.7945786e-06
64,20210324T152641_20210324T152637_T18NUJ,1.8568991e-05
65,20210324T152641_20210324T152637_T18NUK,3.4635777e-05
66,20210327T153621_20210327T153617_T18NUJ,0.26455063
67,20210327T153621_20210327T153617_T18NUK,0.09620061
68,20210329T152639_20210329T152637_T18NUJ,0.120201156
69,20210329T152639_20210329T152637_T18NUK,0.020111797
70,20210401T153619_20210401T153617_T18NUJ,0.0
71,20210401T153619_20210401T153617_T18NUK,2.6338995e-07
72,20210403T152641_20210403T152640_T18NUJ,0.0018121887
73,20210403T152641_20210403T152640_T18NUK,0.0
74,20210406T153621_20210406T153615_T18NUJ,0.41092405
75,20210406T153621_20210406T153615_T18NUK,0.22443008
76,20210406T153621_20210406T154205_T18NUJ,2.172967e-06
77,20210408T152639_20210408T152636_T18NUJ,0.064223684
78,20210408T152639_20210408T152636_T18NUK,0.015631864
79,20210411T153619_20210411T153615_T18NUJ,0.10062549
80,20210411T153619_20210411T153615_T18NUK,0.0008755082
81,20210413T152631_20210413T152633_T18NUJ,0.057168193
82,20210413T152631_20210413T152633_T18NUK,0.006237864
83,20210416T153611_20210416T153613_T18NUJ,3.6874592e-06
84,20210416T153611_20210416T153613_T18NUK,2.3705095e-06
85,20210418T152639_20210418T152801_T18NUJ,0.03740071
86,20210418T152639_20210418T152801_T18NUK,0.0019178739
87,20210421T153619_20210421T153620_T18NUJ,0.38455603
88,20210421T153619_20210421T153620_T18NUK,0.13552222
89,20210423T152641_20210423T152635_T18NUJ,0.0
90,20210423T152641_20210423T152635_T18NUK,0.0
91,20210426T153621_20210426T153616_T18NUJ,0.033922058
92,20210426T153621_20210426T153616_T18NUK,4.7015103e-05
93,20210428T152639_20210428T152634_T18NUJ,0.008077906
94,20210428T152639_20210428T152634_T18NUK,0.0032125672
95,20210501T153619_20210501T153854_T18NUJ,0.79000306
96,20210501T153619_20210501T153854_T18NUK,0.29152644
97,20210503T152641_20210503T152637_T18NUJ,0.0023813085
98,20210503T152641_20210503T152637_T18NUK,0.0
99,20210506T153621_20210506T153834_T18NUJ,0.29848427
100,20210506T153621_20210506T153834_T18NUK,0.18181556
101,20210508T152639_20210508T152637_T18NUJ,1.6593565e-05
102,20210508T152639_20210508T152637_T18NUK,0.0
103,20210511T153619_20210511T153617_T18NUJ,0.40830708
104,20210511T153619_20210511T153617_T18NUK,0.17029049
