,lat,lat,lat,lat,lat,lat,lon,lon,lon,lon,lon,lon,ndvi,ndvi,ndvi,ndvi,ndvi,ndvi,ndbi,ndbi,ndbi,ndbi,ndbi,ndbi,scl_pct,scl_pct,scl_pct,scl_pct,scl_pct,scl_pct,no2,no2,no2,no2,no2,no2,so2,so2,so2,so2,so2,so2,o3,o3,o3,o3,o3,o3,era5_T2m,era5_T2m,era5_T2m,era5_T2m,era5_T2m,era5_T2m,era5_Td2m,era5_Td2m,era5_Td2m,era5_Td2m,era5_Td2m,era5_Td2m,era5_u10,era5_u10,era5_u10,era5_u10,era5_u10,era5_u10,era5_v10,era5_v10,era5_v10,era5_v10,era5_v10,era5_v10,era5_BLH,era5_BLH,era5_BLH,era5_BLH,era5_BLH,era5_BLH,era5_RH850,era5_RH850,era5_RH850,era5_RH850,era5_RH850,era5_RH850,era5_psurf,era5_psurf,era5_psurf,era5_psurf,era5_psurf,era5_psurf,era5_precip,era5_precip,era5_precip,era5_precip,era5_precip,era5_precip,modis_AOD_047,modis_AOD_047,modis_AOD_047,modis_AOD_047,modis_AOD_047,modis_AOD_047,modis_AOD_055,modis_AOD_055,modis_AOD_055,modis_AOD_055,modis_AOD_055,modis_AOD_055,modis_WV,modis_WV,modis_WV,modis_WV,modis_WV,modis_WV
,count,mean,std,min,median,max,count,mean,std,min,median,max,count,mean,std,min,median,max,count,mean,std,min,median,max,count,mean,std,min,median,max,count,mean,std,min,median,max,count,mean,std,min,median,max,count,mean,std,min,median,max,count,mean,std,min,median,max,count,mean,std,min,median,max,count,mean,std,min,median,max,count,mean,std,min,median,max,count,mean,std,min,median,max,count,mean,std,min,median,max,count,mean,std,min,median,max,count,mean,std,min,median,max,count,mean,std,min,median,max,count,mean,std,min,median,max,count,mean,std,min,median,max
clase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
contaminacion_alta_NO2,230,3.467308741063636,0.08925938878263806,3.3034646258212907,3.4711800893663267,3.6329666720361766,230,-76.44595303638663,0.07933951016331602,-76.63042598570185,-76.45107733922481,-76.30523585284591,230,0.49416379029660124,0.18296306165897702,0.032667044550180435,0.5004864931106567,0.8067190647125244,230,-0.13039157994536926,0.13762277154421076,-0.44117075204849243,-0.13536817580461502,0.19186557829380035,230,0.8526537024456522,0.20493345230781027,0.3017578125,0.99609375,1.0,230,3.84978075089748e-05,1.4485609862978702e-05,2.3964468709891662e-05,3.403552727831993e-05,0.00012484077888075262,230,5.147064988774297e-05,0.00023106346295170832,-0.0006121492478996515,0.0,0.0013182279653847218,229,0.11784830383598544,0.006290088262513299,0.10532402247190475,0.11693137139081955,0.1302008181810379,230,297.403833538553,1.848378431056834,292.728515625,297.4444122314453,303.1817321777344,230,292.69654965608015,1.4549056900039739,289.4803161621094,292.6607971191406,296.938720703125,230,0.3098130621339964,0.7276966496573248,-1.3830797672271729,0.32592515647411346,1.9400877952575684,230,-0.8532854453377102,0.5372075576208386,-2.0228967666625977,-0.9877371788024902,0.9910156726837158,230,693.0745452880859,152.8661457038536,218.540771484375,710.66455078125,1116.6490478515625,230,87.63945611041525,5.714602966275213,67.74050903320312,88.46707534790039,98.01910400390625,230,87681.70268342391,2019.7615308373013,85140.3125,87714.02734375,90871.328125,230,0.00028137052431702613,0.0006759291186922285,-1.862645149230957e-09,5.031563341617584e-05,0.00435994379222393,218,0.317434418331319,0.13782577093452117,0.0,0.31344155967235565,0.8299999237060547,218,0.2298581498000053,0.10084872584495341,0.0,0.22644727677106857,0.610166609287262,230,2.906099973295046,0.7939850819897861,0.1467333436012268,3.024630069732666,4.67732048034668
contaminacion_alta_SO2,230,3.450503996100806,0.10357167846830125,3.3039137834633503,3.4383017499675677,3.642398982519427,230,-76.46633190446497,0.09514927063094612,-76.64066677994096,-76.44663067856835,-76.30415787450495,230,0.6123564367708952,0.15418276067403125,0.1341320127248764,0.6562642753124237,0.8633933067321777,230,-0.20097382464243665,0.11970510042682231,-0.4521291255950928,-0.2177722454071045,0.18759673833847046,230,0.899393894361413,0.18560965121511572,0.3056640625,1.0,1.0,225,1.524569118070455e-05,6.73473164301298e-06,-7.18900810170453e-06,1.698712912912015e-05,2.3930271709105e-05,230,0.00039030523039400576,0.00019802079735829075,0.00016391059034503996,0.0003403244190849364,0.0010578985093161464,230,0.11829372615269992,0.005729709585502843,0.1064193844795227,0.11747323349118233,0.12846951186656952,230,297.84407176142156,1.8756185246080734,293.1263122558594,297.4551696777344,303.1817321777344,230,292.76027924910835,1.6495498629450829,288.9534912109375,292.4972229003906,296.938720703125,230,0.22639698736045671,0.7925659931073967,-1.2521114349365234,0.006106674671173096,1.9400877952575684,230,-0.8141554123681525,0.5516103847713305,-2.0228967666625977,-0.9663064479827881,0.9910156726837158,230,679.0353250254756,150.80694578284943,218.540771484375,683.5009765625,1116.6490478515625,230,85.89031060260275,7.9511747061013605,51.908485412597656,87.55961608886719,96.22848510742188,230,88129.77978940218,2125.943558020292,85157.5078125,89399.8828125,90918.0546875,230,0.00022260892893309178,0.00040124783621416305,-1.862645149230957e-09,4.8053450882434845e-05,0.0020026639103889465,226,0.2692374843090311,0.15157915109504275,0.012086956761777401,0.2782592475414276,0.5860000252723694,226,0.19479131885697093,0.11046849700535306,0.008521739393472672,0.20057693123817444,0.42800000309944153,230,2.9394113801095796,0.7695987030911233,0.14086666703224182,2.982979893684387,4.355840682983398
ozono_anomalo,230,3.4753353834131713,0.0940548524256369,3.306159571673648,3.480073410679106,3.6460820751843155,230,-76.45494985924314,0.09943811335846844,-76.64623633470258,-76.44986461359123,-76.30460703214702,230,0.5268240040735058,0.1680666243224421,0.11961570382118225,0.5492410659790039,0.8738348484039307,230,-0.154699147099872,0.1254063895562984,-0.40874311327934265,-0.1734941378235817,0.14048045873641968,230,0.8387663468070652,0.21643377430409785,0.301513671875,0.970703125,1.0,160,7.325097450028295e-06,9.440544582979048e-06,-4.146858429976419e-07,0.0,2.392057103861589e-05,230,-2.8586368807737016e-05,0.00011152234193903439,-0.000676884432323277,0.0,0.00016318306734319776,230,0.12524604285540789,0.0026355076455285443,0.12068963050842285,0.12442192435264587,0.1316566914319992,230,297.8207084324049,2.157074929520684,292.23846435546875,297.736083984375,303.1817321777344,230,292.52433232846465,1.5278238401603808,289.95782470703125,292.51348876953125,297.0692138671875,230,0.3652325407318447,0.80364133905761,-1.2956390380859375,0.3468402028083801,1.994827151298523,230,-1.0287288056767505,0.4991167899960107,-1.7392536401748657,-1.125152587890625,0.9910156726837158,230,662.6765964673913,175.5311178531337,188.0205078125,703.6222534179688,1056.2664794921875,230,88.35727907263714,5.439112030578395,59.23899841308594,90.33295440673828,98.33665466308594,230,87639.49262907609,2106.522328969463,85148.7734375,86128.26953125,90980.296875,230,0.0004002504374669946,0.0008610435219522009,0.0,2.701207995414734e-05,0.0043496256694197655,204,0.3064927920224328,0.15262935149902743,0.0,0.3057173937559128,0.5889999866485596,204,0.22199523818733938,0.11140209582586719,0.0,0.2211521789431572,0.4300000071525574,230,2.4976853907108305,0.8668724452685086,0.5895599722862244,2.4361900091171265,4.331250190734863
suelo_urbano,230,3.4471411723633,0.05201480456462489,3.3158613767421343,3.4352474780015627,3.5962255769157054,230,-76.49013413491957,0.050342812642792875,-76.56413031773288,-76.49761007094287,-76.30487652673226,230,0.17774252176851682,0.06709080465691981,-0.017549341544508934,0.18258434534072876,0.29827868938446045,230,0.10621764246860275,0.037611105099691525,0.0512123703956604,0.10286732763051987,0.27100056409835815,230,0.8986221976902173,0.16771866056204449,0.302734375,0.98681640625,1.0,195,3.9613846640862996e-05,2.8057285822867357e-05,0.0,3.865742837660946e-05,0.00014784789527766407,230,3.581463752296891e-05,0.0001611318821938312,-0.0003630385617725551,0.0,0.0009657269692979753,215,0.11766394539627918,0.0068929862376853794,0.10528416931629181,0.11674502491950989,0.131106898188591,230,297.31443985648775,1.9140419856451412,292.23846435546875,297.23651123046875,303.1817321777344,230,292.3292021378227,1.346615603766721,288.9241943359375,292.32640075683594,295.6308898925781,230,0.2992163481919662,0.7502815901981391,-1.3830797672271729,0.30411583185195923,1.7991726398468018,230,-0.7658450078705082,0.5346932897437903,-2.0228967666625977,-0.8019647598266602,0.9910156726837158,230,702.4050287661345,167.5155331370306,218.540771484375,716.5819702148438,1154.5648193359375,230,88.3148739690366,5.6239247540245625,59.23899841308594,89.6824951171875,98.33665466308594,230,87258.29127038043,2057.600942399289,85093.546875,85940.484375,90760.90625,230,0.00022287635618577833,0.00046355777655230637,-1.862645149230957e-09,6.60107471048832e-05,0.0032341163605451584,209,0.35680371144135886,0.1504014982438736,0.0,0.3630000054836273,0.8494706153869629,209,0.2587951873495961,0.11030101946046313,0.0,0.2625769078731537,0.6247058510780334,230,2.6402710905865483,0.8390481714838445,0.10000000149011612,2.789510130882263,4.5117597579956055
vegetacion_densa,230,3.4696943540007665,0.099357926710462,3.303105299707643,3.4825437777104336,3.643746455445606,230,-76.46262889263502,0.10844283740028574,-76.64560751400369,-76.43558140057353,-76.30469686367543,230,0.6942946967871293,0.0611273339611043,0.600451648235321,0.6847558915615082,0.8696318864822388,230,-0.2674486260375251,0.07105566357724118,-0.4358559250831604,-0.266545906662941,-0.07000062614679337,230,0.884639308763587,0.17500170035678067,0.318359375,0.9869384765625,1.0,143,1.1824397628518906e-05,8.405584969187916e-06,-5.106197477289243e-06,1.4168564121064264e-05,2.3927206711960025e-05,230,-2.8353909012524958e-06,6.465680212497756e-05,-0.00032786469091661274,0.0,0.00014497808297164738,184,0.11368650372099617,0.0035589108403870696,0.10535956919193268,0.11400643363595009,0.12047731876373291,230,297.3839161748472,1.5793671033911154,293.03369140625,297.5577087402344,301.34649658203125,230,292.845983090608,1.595261640507353,288.9241943359375,292.83642578125,296.9401550292969,230,0.374082926498807,0.7411847544479616,-1.1664516925811768,0.5245657861232758,1.934658408164978,230,-0.8194519864476245,0.42457678054577985,-2.0228967666625977,-0.855302095413208,0.9764273166656494,230,655.9823072350543,163.0514683546639,267.239013671875,679.923095703125,1154.5648193359375,230,86.92538355951724,6.474292743669459,59.23899841308594,88.44422149658203,98.01910400390625,230,88167.05,2120.9783557237406,85093.546875,89436.94921875,90951.609375,230,0.00024932337843853493,0.0004935340724318379,-1.862645149230957e-09,6.098765879869461e-05,0.00435994379222393,209,0.32386657694114024,0.14224370642390177,0.013923076912760735,0.3313199579715729,0.5910000205039978,209,0.23465195988443052,0.10388447716299387,0.009846154600381851,0.2396666556596756,0.4320000112056732,230,2.8401809871196746,0.8309320692555131,0.5865600109100342,2.8852033615112305,4.7992401123046875
