clase,ndvi,ndbi,scl_pct,lat,lon,PC1,PC2
contaminacion_alta_NO2,0.6391866207122803,-0.21137773990631104,0.9970703125,3.586883097960867,-76.44483404800009,-0.8309661622851445,-1.490694115255579
contaminacion_alta_NO2,0.5353635549545288,-0.20923039317131042,0.48583984375,3.5950577670463506,-76.31709361459646,-0.7299488056635978,-1.4548517223894544
contaminacion_alta_NO2,0.12360535562038422,0.16643568873405457,1.0,3.416113362449826,-76.47825137656982,-0.15348005430755252,2.721114204740494
contaminacion_alta_NO2,0.6504279375076294,-0.199527308344841,0.96142578125,3.4953447705091305,-76.32428013686952,2.899005913162439,0.09934288615616019
contaminacion_alta_NO2,0.5007303953170776,-0.2786976099014282,0.7529296875,3.59173400049511,-76.4503137712333,-1.2858119568612782,-1.3018310229014767
contaminacion_alta_NO2,0.6855624318122864,-0.15610027313232422,1.0,3.3188258171797274,-76.5330486089019,-0.5473226914590118,-1.460586926318251
contaminacion_alta_NO2,0.21753567457199097,0.10982741415500641,0.892578125,3.4595019906727784,-76.46792075080229,0.4677247179307066,3.171934299391552
contaminacion_alta_NO2,0.6149910688400269,-0.109434574842453,1.0,3.3545787654876675,-76.49603801919564,1.4845340947686463,1.0063723166380776
vegetacion_densa,0.6140055656433105,-0.21781203150749207,0.958984375,3.4603104744284856,-76.5988951192288,-1.6359496608403234,-1.1352723637965312
ozono_anomalo,0.3359439969062805,-0.18823972344398499,0.302490234375,3.5632574059885345,-76.42013037768645,-2.049501964450534,-2.7156313076871372
contaminacion_alta_SO2,0.4693009853363037,-0.07407329231500626,0.93115234375,3.3239462142992062,-76.3824909672813,1.9500982905231372,1.6865552324853232
contaminacion_alta_NO2,0.5589864253997803,-0.08371827006340027,1.0,3.4356068041152104,-76.33173615372782,0.1259414674456798,1.3419844580235156
contaminacion_alta_NO2,0.26423656940460205,-0.036613501608371735,0.67626953125,3.4285999448990814,-76.54697249580595,-2.9900518127785976,-0.48672609428858893
contaminacion_alta_NO2,0.07347488403320312,-0.044491417706012726,0.35302734375,3.433091521319677,-76.46980721289897,-0.7576686899026065,0.7612650150076884
vegetacion_densa,0.8022105693817139,-0.2977258563041687,1.0,3.3354446499359307,-76.55900992061332,-0.6830830682539238,-1.671421344293053
contaminacion_alta_NO2,0.7162836790084839,-0.2570926547050476,1.0,3.3058900770884123,-76.32490895756841,1.935220695286306,0.07014266383572654
ozono_anomalo,0.25667962431907654,0.009330605156719685,1.0,3.5443029534936215,-76.49738549212184,-1.5274360966175358,2.323050793197544
