clase,variable,n,p0,p10,p25,p50,p75,p90,p95,p99,p100
contaminacion_alta_NO2,no2,230,2.3964468709891662e-05,2.5558793095115106e-05,2.8771419238182716e-05,3.403552727831993e-05,4.26947826781543e-05,5.87518181419e-05,6.713268703606443e-05,8.987661756691523e-05,0.00012484077888075262
contaminacion_alta_NO2,so2,230,-0.0006121492478996515,-0.0001313947286689654,0.0,0.0,4.907093261863338e-05,0.00025348764029331494,0.0005374874745029951,0.0009161072567803802,0.0013182279653847218
contaminacion_alta_NO2,o3,229,0.10532402247190475,0.10929957032203674,0.11390110850334167,0.11693137139081955,0.12319254875183105,0.12780481576919556,0.12860555052757264,0.12942658185958864,0.1302008181810379
contaminacion_alta_SO2,no2,225,-7.18900810170453e-06,4.930108207190643e-06,1.1981225725321565e-05,1.698712912912015e-05,2.044430948444642e-05,2.2338269263855182e-05,2.2968007760937324e-05,2.3674984549870712e-05,2.3930271709105e-05
contaminacion_alta_SO2,so2,230,0.00016391059034503996,0.00017963974823942408,0.00022152846577228047,0.0003403244190849364,0.0005144375027157366,0.0006899621454067528,0.0007474103913409635,0.0009518012992339212,0.0010578985093161464
contaminacion_alta_SO2,o3,230,0.1064193844795227,0.11078569144010544,0.11501562036573887,0.11747323349118233,0.12343821488320827,0.12586997896432878,0.12778898626565932,0.12840649083256722,0.12846951186656952
ozono_anomalo,no2,160,-4.146858429976419e-07,0.0,0.0,0.0,1.782584877219051e-05,2.134576097887475e-05,2.2467569124273713e-05,2.3813606621843063e-05,2.392057103861589e-05
ozono_anomalo,so2,230,-0.000676884432323277,-0.00013872336858185007,0.0,0.0,0.0,0.0,6.062926659069449e-05,0.0001342203954845904,0.00016318306734319776
ozono_anomalo,o3,230,0.12068963050842285,0.12237532213330268,0.12316415272653103,0.12442192435264587,0.1277591437101364,0.12917030453681946,0.12986672520637513,0.130281230956316,0.1316566914319992
suelo_urbano,no2,195,0.0,0.0,2.2745277419744525e-05,3.865742837660946e-05,5.5804408475523815e-05,7.159108645282686e-05,8.074299839790909e-05,0.00013611782604129987,0.00014784789527766407
suelo_urbano,so2,230,-0.0003630385617725551,0.0,0.0,0.0,0.0,0.00017119669064413753,0.0003356799759785621,0.000719601904274896,0.0009657269692979753
suelo_urbano,o3,215,0.10528416931629181,0.10836799740791321,0.11264213174581528,0.11674502491950989,0.1240566298365593,0.12711117863655091,0.12887100726366044,0.1303088691830635,0.131106898188591
vegetacion_densa,no2,143,-5.106197477289243e-06,0.0,4.432429250300629e-06,1.4168564121064264e-05,1.8718372302828357e-05,2.1582698536803946e-05,2.2821834500064144e-05,2.3569990407850134e-05,2.3927206711960025e-05
vegetacion_densa,so2,230,-0.00032786469091661274,-2.9730830647167723e-05,0.0,0.0,0.0,6.966829823795706e-05,0.00010765123879536985,0.0001332781594828703,0.00014497808297164738
vegetacion_densa,o3,184,0.10535956919193268,0.10803034380078316,0.1116589680314064,0.11400643363595009,0.1164370272308588,0.11767092421650886,0.11885549090802669,0.1202369775623083,0.12047731876373291
