tile_id,clase,fecha_tile,anio,contaminante,ventana_dias,estacion_cercana,municipio_estacion,distancia_km,valor_dagma,dias_con_dato,horas_con_dato
3279,vegetacion_densa,2022-01-16,2022,NO2,0,ESTACIÓN YUMBO,Yumbo,15.610665762630425,,0,0
3279,vegetacion_densa,2022-01-16,2022,NO2,1,ESTACIÓN YUMBO,Yumbo,15.610665762630425,,0,0
3279,vegetacion_densa,2022-01-16,2022,NO2,3,ESTACIÓN YUMBO,Yumbo,15.610665762630425,,0,0
3280,vegetacion_densa,2024-01-06,2024,NO2,0,ESTACIÓN YUMBO,Yumbo,14.505817554453465,,0,0
3280,vegetacion_densa,2024-01-06,2024,NO2,1,ESTACIÓN YUMBO,Yumbo,14.505817554453465,,0,0
3280,vegetacion_densa,2024-01-06,2024,NO2,3,ESTACIÓN YUMBO,Yumbo,14.505817554453465,,0,0
3281,vegetacion_densa,2023-01-26,2023,NO2,0,ESTACIÓN YUMBO,Yumbo,20.704297744420547,,0,0
3281,vegetacion_densa,2023-01-26,2023,NO2,1,ESTACIÓN YUMBO,Yumbo,20.704297744420547,,0,0
3281,vegetacion_densa,2023-01-26,2023,NO2,3,ESTACIÓN YUMBO,Yumbo,20.704297744420547,,0,0
3282,vegetacion_densa,2021-11-07,2021,NO2,0,ESTACIÓN YUMBO,Yumbo,26.687892179230513,,0,0
3282,vegetacion_densa,2021-11-07,2021,NO2,1,ESTACIÓN YUMBO,Yumbo,26.687892179230513,,0,0
3282,vegetacion_densa,2021-11-07,2021,NO2,3,ESTACIÓN YUMBO,Yumbo,26.687892179230513,,0,0
3283,vegetacion_densa,2025-12-01,2025,NO2,0,ESTACIÓN YUMBO,Yumbo,18.418277210286025,,0,0
3283,vegetacion_densa,2025-12-01,2025,NO2,1,ESTACIÓN YUMBO,Yumbo,18.418277210286025,,0,0
3283,vegetacion_densa,2025-12-01,2025,NO2,3,ESTACIÓN YUMBO,Yumbo,18.418277210286025,,0,0
3284,vegetacion_densa,2021-11-02,2021,NO2,0,ESTACIÓN YUMBO,Yumbo,16.644318949794766,,0,0
3284,vegetacion_densa,2021-11-02,2021,NO2,1,ESTACIÓN YUMBO,Yumbo,16.644318949794766,,0,0
3284,vegetacion_densa,2021-11-02,2021,NO2,3,ESTACIÓN YUMBO,Yumbo,16.644318949794766,,0,0
3285,vegetacion_densa,2023-07-20,2023,NO2,0,ESTACIÓN YUMBO,Yumbo,21.140169005886825,14.880952380952381,1,21
3285,vegetacion_densa,2023-07-20,2023,NO2,1,ESTACIÓN YUMBO,Yumbo,21.140169005886825,15.681690009337068,3,58
3285,vegetacion_densa,2023-07-20,2023,NO2,3,ESTACIÓN YUMBO,Yumbo,21.140169005886825,15.864490523482118,7,140
3286,vegetacion_densa,2021-10-03,2021,NO2,0,ESTACIÓN YUMBO,Yumbo,33.61320713647101,,0,0
3286,vegetacion_densa,2021-10-03,2021,NO2,1,ESTACIÓN YUMBO,Yumbo,33.61320713647101,,0,0
3286,vegetacion_densa,2021-10-03,2021,NO2,3,ESTACIÓN YUMBO,Yumbo,33.61320713647101,,0,0
3287,vegetacion_densa,2024-10-17,2024,NO2,0,ESTACIÓN YUMBO,Yumbo,32.0081957453781,,0,0
3287,vegetacion_densa,2024-10-17,2024,NO2,1,ESTACIÓN YUMBO,Yumbo,32.0081957453781,,0,0
