contaminante,ventana_dias,clase,n_tiles,n_con_dagma,dagma_media,dagma_mediana,dagma_p75,distancia_mediana_km,distancia_p75_km,cobertura_dagma
NO2,0,contaminacion_alta_NO2,1000,50,15.083808020050126,14.880952380952381,14.880952380952381,13.660113966259123,18.312166184952268,0.05
NO2,0,contaminacion_alta_SO2,1000,141,14.044934981343157,14.880952380952381,14.880952380952381,18.371078585794816,25.15059727718603,0.141
NO2,0,ozono_anomalo,1000,2,20.545454545454547,20.545454545454547,20.545454545454547,18.650735249911143,25.2114938668763,0.002
NO2,0,suelo_urbano,1000,112,10.406046090500977,11.58,14.880952380952381,14.444589601565841,17.60895221638303,0.112
NO2,0,vegetacion_densa,1000,107,10.11335557621588,11.58,14.880952380952381,19.027765144660588,26.7218261716279,0.107
NO2,1,contaminacion_alta_NO2,1000,81,11.497347957165209,10.472916666666668,15.681690009337068,13.660113966259123,18.312166184952268,0.081
NO2,1,contaminacion_alta_SO2,1000,143,14.417838688121414,15.681690009337068,15.681690009337068,18.371078585794816,25.15059727718603,0.143
NO2,1,ozono_anomalo,1000,8,17.355929010602924,20.71935802120585,22.205000000000002,18.650735249911143,25.2114938668763,0.008
NO2,1,suelo_urbano,1000,128,9.976418051920211,8.404265350877195,15.681690009337068,14.444589601565841,17.60895221638303,0.128
NO2,1,vegetacion_densa,1000,114,10.285468160727348,6.33561403508772,15.681690009337068,19.027765144660588,26.7218261716279,0.114
NO2,3,contaminacion_alta_NO2,1000,81,12.188485347689424,9.543809023609443,15.864490523482118,13.660113966259123,18.312166184952268,0.081
NO2,3,contaminacion_alta_SO2,1000,143,14.910698613613118,15.864490523482118,15.864490523482118,18.371078585794816,25.15059727718603,0.143
NO2,3,ozono_anomalo,1000,8,18.547248600691923,21.43788660787108,24.33072118702553,18.650735249911143,25.2114938668763,0.008
NO2,3,suelo_urbano,1000,128,10.468262266765777,8.263154511804721,15.864490523482118,14.444589601565841,17.60895221638303,0.128
NO2,3,vegetacion_densa,1000,114,10.85752552562812,6.982500000000001,15.864490523482118,19.027765144660588,26.7218261716279,0.114
O3,0,contaminacion_alta_NO2,1000,158,19.43916753322176,17.629166666666666,25.23888888888889,3.1170292493830805,5.007752500005684,0.158
O3,0,contaminacion_alta_SO2,1000,231,19.095614688674427,16.079444444444444,27.026096491228067,7.609596326239499,12.719588624783459,0.231
O3,0,ozono_anomalo,1000,258,21.150298879023048,17.629166666666666,32.778,8.365096868124983,13.263358560871062,0.258
O3,0,suelo_urbano,1000,120,16.277495842700308,13.201249999999998,19.948571428571427,0.8773784181900273,1.2416567483141223,0.12
O3,0,vegetacion_densa,1000,167,22.976668432154018,20.345833333333335,30.89315476190476,10.320017907969785,14.681122860997155,0.167
O3,1,contaminacion_alta_NO2,1000,160,18.89650906367232,16.280555555555555,20.325238095238095,3.1170292493830805,5.007752500005684,0.16
O3,1,contaminacion_alta_SO2,1000,233,19.643231164268123,16.280555555555555,25.12222222222222,7.609596326239499,12.719588624783459,0.233
