contaminante,clase_objetivo,ventana_dias,n_objetivo,n_resto,mediana_objetivo,mediana_resto,diferencia_mediana,percentil_mediana_objetivo,lectura
NO2,contaminacion_alta_NO2,0,50,362,14.880952380952381,13.31547619047619,1.5654761904761916,0.837378640776699,coherente
NO2,contaminacion_alta_NO2,1,81,393,10.472916666666668,10.773290598290599,-0.30037393162393045,0.48523206751054854,débil o inversa
NO2,contaminacion_alta_NO2,3,81,393,9.543809023609443,10.25945054945055,-0.7156415258411073,0.48523206751054854,débil o inversa
SO2,contaminacion_alta_SO2,0,141,399,6.043809523809524,9.894,-3.850190476190476,0.4222222222222222,débil o inversa
SO2,contaminacion_alta_SO2,1,146,448,7.657061617883868,10.123633540372671,-2.4665719224888027,0.44107744107744107,débil o inversa
SO2,contaminacion_alta_SO2,3,146,448,7.5486775206474075,10.508418972332015,-2.9597414516846072,0.43602693602693604,débil o inversa
O3,ozono_anomalo,0,258,676,17.629166666666666,16.75263157894737,0.8765350877192972,0.5535331905781584,coherente
O3,ozono_anomalo,1,272,689,15.508273420479302,16.280555555555555,-0.772282135076253,0.4838709677419355,débil o inversa
O3,ozono_anomalo,3,272,718,14.670843620103543,15.830681829253441,-1.159838209149898,0.45656565656565656,débil o inversa
